候選人,政見
臺北市第1選舉區_3_李婉鈺,"1.都市更新，提高基準容積，讓大家舊屋換新屋換回原居住坪數再加一個停車位。
2.海砂屋不用百分百同意立即重建。
3.老屋外牆清潔美化拉皮、四五樓舊公寓有電梯。
4.校園結構、閒置空間大體檢，校園廁所全面換新。
5.焚化爐升級，還給北投居民無污染的健康環境。
6.酒駕重罰，直接拘役15日。
7.廣設日托樂齡中心、親子主題特色 >>公園<< 。
8.成立北投天母青創基金、育成中心、加速器。
9.老人年金6千元、老農津貼1萬元，政府補助友善病房看護費。
10.育兒津貼1萬元。
11.政府補助學貸零利率，幫助年輕學子安心就學從容就業。
12.週休二日勞資協商，含派遣工基本工資30000元，本外勞工資脫鉤。"
臺北市第5選舉區_4_盧憲孚,"1優化民主選舉程序：一、選票要有「以上皆非」選項，拒絕挑選爛蘋果，才是真民主。二、若候選人票數都未超過「以上皆非」票數，須重選並更換所有候選人。
2推動「國際創意混血融合文化島」：獎勵國際各行創意精英來台投資創業定居，並與本地人通婚在台成家，促進本地國際化與創意升級。
3儘速成立「和平非戰區」確保同胞免於戰爭死傷：因應兩岸若因台獨與獨台政策而不幸發生戰爭，應速透過第三方公正組織與對岸代表，三方共同簽署「和平非戰區」，確保愛好和平的同胞免於戰爭轟炸死傷。
4推動「自主選擇免除死刑」法案：不應強迫支持死刑者接受廢死；基於唯有被害人才有權利原諒加害人，故建議要廢死者簽署「殺我免死刑同意卡」讓法律回歸尊重個人意願自主權，並符合多元社會價值與意願。
5「強化警察依法執勤尊嚴與人身安全」專法：確保警察依法執勤之人身安全，進而確保人民生命財產安全與免於恐懼之自由。6「強化高科技消防救災裝備器材」專法：確保消防人員救災之人身安全，進而保護人民生命財產安全。7「住學合一宅」專法：在學校用地內，為經濟弱勢、年輕有小孩的小夫婦，興建無憂無慮養兒育女的社會住宅。8「青年免費遊學週」：提供年輕人於20-29歲之間，有兩次五天四夜的遊學活動。（一次大陸地區一次東南亞地區）9「青年潛能開發」：整合各類潛能分析，免費為年輕人分析，提供個人發揮潛能的參考依據，並輔以相關教育訓練。10「 >>公園<< 日間照護中心」：將大中型 >>公園<< 部分改進成山坡型 >>公園<< ，於山坡型 >>公園<< 下興建日間照護中心，服務經濟弱勢老人家。11「孝親日旅遊」：陪伴家中77歲以上長者三天兩夜國內旅遊，每年可請孝親日一天，並每年補助該長者一人一萬元旅遊費。12推動「監管人工智慧演算法」專法。"
臺北市第6選舉區_6_謝佩芬,"一、國家安全，捍衛主權：1、捍衛臺澎金馬主權，拒絕「和平協議」及「一國兩制」，防止臺灣成為下一個香港。2、力抗中國打壓，促成臺灣加入國際組織（例如世界衛生組織），為全民謀福利。3、提高臺灣國際能見度，以經貿、教育、文化軟實力推動實質外交。4、落實國防自主，續推國艦國造，擴大內需能量，扶植國防產業發展。5、堅持政治公平與透明，杜絕境外勢力與資金滲透臺灣。

二、地方繁榮，大安樂活：1、全面盤點公有閒置房舍，重新打造為市民活動空間、社福據點及新創基地；建造空總成為新創市集園區，接軌國際產業發展。2、延長並擴大《都市危老條例》獎勵，加速市容更新，打造大安區成為首屈一指的臺灣門面。3、逐步擴大政府租屋補貼範圍，提高受僱者實質所得。4、建立並優化社區醫療照護網絡，百分百守護人民健康。5、定期巡檢並汰換 >>公園<< 與運動中心設施，營造安全友善的休閒娛樂空間。

三、經濟活絡，投資前瞻：1、與時俱進調適法規，為新創商機開路。2、推動第5代行動通訊（5G）基礎建設，加速實現智慧生活。3、優化醫療法規及認證機制，推動醫療器材及輔具產業本土化，兼顧經濟發展與健康保障。4、監督政府落實綠色採購，促進能源轉型並扶植綠能產業。5、擴大全球招商，加碼投資臺灣，力促產業創新升級。

四、婦幼安心，教育平權：1、校園霸凌零容忍，優化校園安全軟硬體，讓孩子每一天都能快樂學習。2、完善平價托育及社區保姆系統，監督職場及公共場所設置哺乳及育兒設施。3、落實雙語教育，從小培養學生國際競爭力。4、推廣母語語言能力認證，保存與發揚在地文化。5、支持技職教育升級，打造實作與創新環境，培育新創產業即戰力。

五、社會和睦，保障人權：1、推動18歲公民投票權修憲，鼓勵青年參與公共事務。2、推動友善長照及保險機制，補助有薪長照假，讓「職家平衡」不是夢。3、尊重多元族群差異，堅持「歧視零容忍」，迎向共存共榮的社會。4、監督政府落實《聯合國身心障礙者權利公約》，改善軟硬體公共設施，提升年長及行動不便者的生活品質。5、加速推動聯合國人權公約內國法化，確保臺灣人民安居樂業，追求美好的未來。"
臺南市第4選舉區_6_林宜瑾,"撐香港，挺台灣！守護民主，捍衛主權！
2020 台灣要贏！2020 支持宜瑾！
⊚三區發展新都心
一、永康發展龍頭，加速大灣交流道分流等交通及治水建設
　　，砲校新總圖打造永康文化綠廊。
二、新市科工新城，加速南科三期擴編，爭取番仔寮工業區
　　，擴大新市都市計畫擴大蛋黃區。
三、新化觀旅門戶，加強農業資源投入，打造生技重鎮，串
　　聯農遊體驗，創新觀光旅宿聯盟。
⊚產業發展拚經濟
一、振興中小企業，修訂相關法令，釋放法規彈性，創造用
　　地空間，永續國土資源，實現國土平衡。
二、加速都會北外環道及國一匝道，串聯南科及永康、新市
　　工業聚落，打造南台灣科技產業重鎮。
三、全力爭取中央經費，逐步完善地方建設。列管追蹤重大
　　建設，確保如期如質完竣啟用。
四、科技強化農情掌握，爭取農業冷鏈加工，串聯產銷通
　　路，加強農業技轉及農地媒合促進新農返鄉。
五、增加青年多元就業，加速青年返鄉創生。爭取擴大青年
　　創業競爭型補助，催生優質青創計畫。
⊚教育體育強國力
一、強化台灣國家意識，保障多元族群，藉由本土及母語教
　　育，讓下一代在學校接觸族群文化與歷史記憶。	
二、教育是人教人的志業，重視教師權益，照顧好老師就會
　　照顧好學生。降低師生比實現精緻教育，支持創新實驗
　　教育，強化技職教育因材施教多元學習。
三、爭取成立體育部，增加體育預算支持體育賽事，增設運
　　動空間優化全民運動。體育讓台灣在國際發光發熱，體
　　育能夠不分藍綠，讓國人一起為台灣加油！
⊚扶老攜幼好願景
一、優化 0-6 歲育兒環境，打造友善親子城市，增設公立幼
　　兒園及公共托育中心，完善公私部門托育設施及空間，
　　增加親子遊樂場域，爭取旗艦級特色 >>公園<< 。
二、增加長照預算照顧高齡長輩，串聯醫療資源強化社福照
　　護。放寬法令增加誘因，引進社會資源支持長照系統，
　　落實人性化關懷，創造友善高齡社會環境。
⊚公平正義贏未來
一、健全財政紀律，實現世代正義，重視居住正義。
二、爭取五一勞動節全面放假，深化勞權意識，讓勞工家庭
　　親子同遊。
三、回應國民期待，打擊萬惡淵藪，重罰毒品及肇逃，強化
　　國家公權力。
四、體恤公教警消，甄補人員編制到位。推動行政革新，提
　　供優質服務。
五、爭取銀髮福利全國齊平，不讓財政困窘縣市受委屈。"
花蓮縣選舉區_6_傅崐萁,"以「花蓮終身義工」為職志，打造幸福宜居的國際都會，讓孩子在此成長茁壯、青年在此創業築夢、長者在此養生樂活。
一. 打通花蓮至臺中，國道六號高速公路，建構中臺灣東 西共同生活圈。
二. 興建環島高速公路網，翻轉後山為前山，公路四通八達。
三. 續建蘇花改二期省道，完整安全回家的路。
四. 推動幼兒「0-6 歲國家養」政策，全面生育補助，每胎6 萬元。
五. 國家培育人才，學貸免息，畢業5 年後，分10 年攤還。
六. 國家支持青年成家專案，補貼首次購屋利息50%，期間15 年。
七. 國家鼓勵企業培育人才出國深造，大學生出國留學一年，企業出資培養，投資青年人才成本得減稅。
八. 國家鼓勵企業晉用青年就業，政府將給予企業減稅。
九. 國家開放外資，投資臺灣，並訂定本國勞工比例，不得低於80%。
十. 國家訂定本國勞工與外國勞工薪資脫勾，留住人才，不再窮臺灣的年輕人。
十一. 國家訂定長照「時間銀行」之完善配套，以利老人安養關懷永續發展。
十二. 中央政府全面更新農業政策，計劃耕作，保價收購，不再穀賤傷農，提高農民收益。
十三. 建構綠色健康城市，全面花海，植樹 >>公園<< 化。
十四. 重視婦女權益，中央政府提升晉用女性首長。
十五. 弘揚客家文化，客語扎根，緬懷義民精神。
十六. 關懷新住民，營造友善環境，成為亞洲移民新故鄉。
十七. 扶植在地藝文團體，推動國際交流，厚植文化底蘊。
十八. 推動觀光包機，打開國際遊客市場，全面行銷花蓮。
十九. 樂活花蓮，慢遊城市，推動文創及國際觀光亮點。
二十. 推動花蓮自由貿易港，打開臺灣國際東大門。
二十一.回復正義，對於不合理的軍公教年改必須修正，實現國家過去承諾，返還公道。"
金門縣選舉區_1_洪志恒,"協助韓國瑜總統改革司法對症下藥。每月一場公聽會直接民意公開討論如何建設金門？媒體全程轉播恁ㄟ心聲我來打拼只要用心來打拼一定唱出阮ㄟ名洪志恒唱作俱佳論得有理合乎邏輯懂得取捨輕重緩急因此院長部長願給”千億”建設金門包括保存文化資產優先建設金門國家 >>公園<< 解除不必要的管制。孔明一曲古箏擊退司馬懿十萬大軍「金門費玉清」「歌王」洪志恒唱作俱佳行銷金門行銷金酒協助金酒公司打開大陸市場２億變３００億。為金馬台澎庶民向中華民國討回原本是老百姓的祖遺土地。受理陳情申寃為庶民伸張正義讓是非分明。協助金門縣政府地方自治為金門人興利。地主與其賣祖產或閒置不用不如出租５０年給「金門縣民建設股份有限公司」類似金酒公司屬全體金門人公同共有。地主每年有租金收入又可分紅。適合建築者吸引「新移民」來買住下來。
適合高經濟效益養殖農牧者吸引金門青年投入跟隨「行家」學習創造「我們不一樣」的事業。人潮錢潮百業興旺。
相信奇蹟～洪志恒就是個「傳奇」費玉清封麥換洪志恒來。"
金門縣選舉區_2_許丕肯,"１.在中華民國憲政基礎下，制定離島基本法，爭取金門成為「和平自由經濟示範區」。
２.爭取將金門機場及水頭碼頭列入國際空港及國際碼頭，成為自由貿易港區，形成七海二空的新局。
３.爭取離島建設基金，擴大金門基礎建及補助台灣旅客往來金門的機票及船票，刺激市場，增進經濟收益。
４.爭取針對戰地政務時期不當徵收或佔用土地返還補償，立特別法，還地於民，實現土地正義。
５.爭取全面檢討金門國土規劃之正當性與合理性，體檢金門國家 >>公園<< 現行措施是否違反在地公共利益與人民權利，改隸屬為交通部國家風景區之可行性。
６.爭取建設金門為「樂活健康宜居城市」全面升級金門醫療水準，打造國家級醫療養老中心，成為兩岸的國際醫療、安養、康復一體多功能綜合院區，使老有所醫，幼有所養，民有所安。
７.提升金門大學的學術研究層級，爭取學校經費補助不足的問題，調整離島招生員額限制，鼓勵締結海外姊妹校，增進學術交流平台。
８.爭取金門新移民生活就業權益，友善對待陸配，外配及原住民，並協助爭取應有的國民化待遇，成立專屬一站式窗口，有效的為新移民做更多的服務與協助。
９.爭取提升離島軍公教、醫衛養人員待遇、權益與福利，更有效的保障金門人民生活品質。
１０.爭取故宮博物館的文物到金門展示，提升金門文化旅遊觀光產業；推動金門成為國際藝術島，爭取建設風獅爺博物館為開啟藝文觀光旅遊。
１１.爭取推動金廈自由旅遊圈，開放金門設置免稅之國際遊艇休憩與停泊的產業。
１２.爭取舉辦國際性能源會議與各項文化經貿活動，點亮金門成為世界新地標。
１３.爭取興建環保焚化爐，徹底解決金門自身環境及垃圾處理的問題。
１４.爭取中央低碳島計畫與健檢金門綠能建設，實現自給自足的低碳島，使金門成為中華民國的示範島，來增加觀光經濟交流。"
金門縣選舉區_9_陳玉珍,"１、轉型正義
協調國家 >>公園<< 及軍方釋出閒置公有土地、延長政府返還佔用私人土地申請期限、清查補(賠)償戰地政務時期侵害人民生命財產案件。
２、交通建設
建設金門航空站及港埠具國際化標準規模、設置小三通「海運快遞」物流專區。
３、醫療照護
持續升級在地專業醫師團隊與醫療設備、改善緊急醫療後送專機與合作醫院遠距連線診療、發展長照優質環境及樂齡健康養生島。
４、觀光文化
整合發展具金門特色觀光資源，加強培育觀光產業人力，發展國際化觀光產業，強化保存維護閩南、僑鄉文化古蹟與軍事遺址，自然生態保育永續環境。
５、兩岸關係
兩岸合作防制環境污染、建立疫情緊急通報機制、規劃金門廈門觀光旅遊圈、擴大民間(宗教)團體文化交流。"
高雄市第1選舉區_4_黃綉晶,"『揮別苦日子 再創好生活,貼近人民心聲 效率責任自許。』
一、關於進出口業法令的制定與修正、關稅怎麼處理(吸引外資,專業人才引進及人才工作權的保障才能留才的配套,讓人民對外投資也可以順利,全世界去做生意,讓股市能夠健全、安全資金怎麼進來。
二、民生法案怎麼修正,不合理的制度怎麼修改,才能讓人民賺到錢。
三、台灣目前很多人民都是契約工,因為法令不夠嚴謹導致國民的薪資比移工們還低。
四、教育的部分要完整檢討修改課綱,將品德教育之四維八德納入課程，讓未來主人翁更能五育健全教育。
五、山城可利用的土地,房舍很多,但因很多單行法規限制,現在將配合國土施行計畫將土地活化配合農業法漁民法如何鬆綁或是
特許的方式來打造山城樂活養生村。
六、山城地廣人稀卻有很多不同種族,族群,多樣的文化,多元的人民,外配人口日益為多數,新住民孩子就養及就學及就業,如何協助外配融入家庭及台灣社會，將設立一個專責單位來進行協助與溝通。
七、新住民的孩子也是我們國家的孩子讓孩子們學習台灣文化之餘也要認識母親的文化及母語學習。
八、我國是以農立國更以科技工業行銷全世界,如何優化、智能化農業與科技工業,給予更多政策支持,結合觀光產業,並將觀光產業、文化的推廣設立單一窗口,避免中間行銷及公關公司的介入,造成外行人指導內行人的窘境.
黃綉晶之「三安政策」:老人安養、青年安心、家庭安樂
一.老人安養:巡迴醫療、送藥醫照、社區日照、老人日託中心、獨居照顧、 定期健檢、老人共餐、無障礙環境。
二.青年安心:家老照護、在地職訓,在地就業、創業輔導、幼兒照顧、兒幼教育、0-6歲國家幫你養完整網路系統來串連各行政區，造就未來AI智慧島,休閒農場、現代新潮觀光夜市、每區設置多功能運動 >>公園<< 。
三.家庭安樂: 道路平穩、道路連外、14區環狀快速道路偏鄉醫療、就業環境、100億身障保險基金推動立法,物產行銷、觀光發展、創新開發、養生樂活、自來水普及、天然氣的規劃與配置 管規劃執行、在地人才在地就業、埋設光纖網路山城醫療以大數統計之大健康產業,強敏感地質的監測及山坡邊土石流防治"
高雄市第3選舉區_6_黃昭順,"1.全力捍衛中華民國主權，堅決反對一國兩制。
2.年金改革嚴重違反信賴保護原則，將繼續在立法院爭取修法，還給退休軍公教警消海巡公平與正義。
3.剪除紊亂政府體制、自稱「東廠」、「西廠」之惡劣政務官。
4.恢復特偵組，徹查「慶富案」等重大弊案。
5.督促政府推動四維八德的品德教育，灌輸學生正確的人倫綱常。
6.反對獨裁踐踏民意，尊重公投結果，還權於民。
7.催生自由經濟示範區，推動高雄經濟國際化。
8.協助中油五輕舊廠區徹底擺脫污染、活化再生，為左楠注入成長新動力。
9.持續爭取鐵路地下化延伸至楠梓、橋頭、岡山。
10.持續推動蓮池潭文化觀光特區，與「壽山國家自然 >>公園<< 」互相連結、相輔相成，帶動生態、 文化、宗教旅遊，打造無煙囪觀光業成為左楠的新興產業。
11.強化污染源頭管理，舉凡後勁溪、仁大工業區等均需列管追蹤。堅持產業發展必須以環境保護為前提。
12.積極治水防洪，持續打造後勁溪成為親水但不淹水的優質生活環境。
13.國道十號銜接國道一號北上工程已動工，將督促如期如質完工。
14.堅持給左楠子弟最優質的教育環境，持續爭取學校設備和體育場地之改善。
15.積極實現老幼國家扶助策略，將嬰幼兒與長者的照顧重擔，轉換成國家協助照護責任。
16.國民小學即應納入程式語言教學，厚植國家軟實力。
17.倡議性別平權，關懷婦女健康。
18.保護並傳承左楠地區珍貴的閩南文化、宗教文化、眷村文化及明清墾拓歷史。
19.持續積極捍衛食品安全，確保國人健康。
20.保證在地服務不中斷，承諾幸福，說到做到。"
高雄市第3選舉區_8_劉世芳,"挺基層-從 0 歲到 100 歲
(1) 推動 0~6 歲 >>兒童<< 國家照護，擴大托幼整合，全面照護 >>兒童<< 。
(2) 整合老人共餐等長期照護方案，孝順社區長輩。
(3) 繼續協助新住民兄弟姐妹，融入台灣大家庭。
(4) 推動成立中央特種基金，照顧弱勢退休軍公教警消人員。

拚經濟、做實事
(1) 推動南台灣高科技產業廊帶，結合橋頭科學園區、中油綠能科技研發中心、楠梓加工出口區、金屬中心、高雄大學、高科大，共創南方高科技經濟。
(2) 結合科技產業與高中、高職、大學共推産學合作，創造在地學子就業機會。
(3) 拆除楠梓「百慕達」，再造楠梓火車站，活絡左營-楠梓-橋頭交通要道
(4) 繼續推動新台 17 線，活化台鐵地下化後綠廊帶，活絡北高雄交通動脈，繁榮在地經濟。
(5) 爭取後勁溪全流域整治，確保防汛安全，整合高雄都會 >>公園<< 生態，共創優質水與綠社區。
(6) 推動公辦都市更新，解決青年住房問題。
(7) 整合左訓中心、世運主埸館、楠梓文中足球場各級學校成為培育體育人才及發展運動產業的國家體育園區。
(8) 推動國家級見城文化園區。
(9) 完成眷村文化保存條例，繼續推動「再見 886 眷村文化園區」。

保家衛國 守護主權
繼續推動國防自主產業，推動國機國造、國艦國造，資通安全產業鏈，堅實國防自主，守護台灣主權。"
高雄市第6選舉區_9_趙天麟,"【三箭三盾．建設高雄】
第一箭：招商引資。將中美貿易戰中所回流的資金、技術與人才，加速回來台灣，並將重點投資高雄。
第二箭：藝文新經濟。藝術文化不僅可以陶冶性情，提高生活品質，也可以創造經濟的收益。所以我向日本瀨戶內藝術祭創辦人北川富朗請益，要把鼓山、鹽埕、前金、新興、苓雅變成藝術新亮點，讓北有美術館，南有文化中心的地方，成為藝文雙引擎，創造經濟利益。
第三箭：運動新經濟。我是馬拉松跑者，以世界六大賽事的東京馬拉松及柏林馬拉松為例，一個城市可以因
為一場馬拉松，創造百億產值。所以我主張跟國際接軌，透過體育運動，創造城市產值。
第一盾：長照保障。長照預算即將從50億增加到400億,我要打造本區為長照示範區,讓長輩可以得到細心的照顧。
第二盾：守護年輕家庭。透過「稅賦減免、公托增額、私托補助」，0-6歲孩子由政府來照顧。
第三盾：弱勢照顧。積極整合社會資源，讓弱勢者也能得到最好照顧。
【我的問政成績單】孩子的小事，就是我的大事：爭取中央預算改善校園環境。捍衛國家安全：加速國艦國造，添購新式戰機，強化高雄國防產業實力。幸福勞工：強化勞權，修法保障派遣勞工權益，持續監督勞工安全就業環境。興建特色 >>公園<< ：加速催生特色 >>共融<<  >>公園<< 。高雄樂活節：持續舉辦高雄樂活節，把親子藝文的種籽，散佈到高雄的每一個角落。"
高雄市第6選舉區_10_陳美雅,"懇請支持國際視野·專業問政·優質認真服務的陳美雅。
美雅宣言：拼教育、經濟、好空氣！拚青年希望、拚下一代幸福!爭取廠商投資高雄，創造更多優質就業機會。捍衛軍公教警消勞尊嚴!捍衛婦幼安全！保護弱勢、實現公平正義!請一票、一票把美雅帶入立法院，支持美雅擔任立法委員，讓我們協力打造一個幸福有希望、有願景的中華民國!
•『推動銀髮族照護，樂活人生』：增設長輩日照中心，提供平價、優質的長期照護系統，減輕家庭照顧負擔。增加社區長青學苑、活動中心、社區關懷據點、 >>公園<< 健身器材，打造樂活社區。
• 『拚下一代幸福』：增加生育津貼、育兒津貼、公立托嬰中心、公立幼稚園，保障托育、教育品質，減輕年輕家庭育兒負擔。推動數位、雙語教育，接軌國際，鼓勵交換留學生、遊學機會，給下一代更強國際競爭力。推動特色 >>共融<< 式 >>公園<< ，提供親子休閒育樂好空間，並給身障 >>兒童<< 或行動不便的朋友，友善的 >>公園<< 空間設施。親子館、青年社教館、微型圖書館。
• 『拚青年希望』：爭取青年就學貸款零利息，延長還款年限，減輕學子經濟負擔。重視技職教育，政府協助產業升級，提高企業競爭力，留住人才，提供市民優質就業機會。推動閒置國有地興建『社會住宅』，優先出租給弱勢、青年，實現居住正義。
• 『我們愛運動』：爭取高雄國民運動中心。培植體育人才，輔導績優運動選手就業機會，爭取國際運動賽事舉辦。活化政府閒置空間，規劃市民運動場域，如:羽球、桌球、籃球、排球、網球、直排輪等。
• 『幸福高雄•優質環境』：高美館、衛武營、海洋流行音樂文化中心、駁二、文化中心、中央 >>公園<< 、凹仔底 >>公園<< 等，辦理各項藝文表演活動、文創市集等。鼓勵影視、音樂、藝術、文創行業在高雄深耕發展，創造藝文經濟產業。爭取中央經費建設高雄，修改不合時宜政策與法令，提升高雄國際城市競爭力。監督政府全面優化高雄防洪排水系統、完善高雄大眾運輸建設。
• 『打擊空汙•增加綠蔭•捍衛食品安全』：嚴格把關食品安全，完善食品法規、查核機制，讓人民食的安心。打擊空污，建置空汙監視系統，嚴格管控空汙排放，給市民乾淨好空氣。減少燃煤發電，支持以核養綠。
• 『廉能政府、透明國會。捍衛中華民國，堅持台灣民主自由價值!』"
不分區_6_時代力量,"(1)居住正義 給年輕世代一個住得起的未來
修法課徵房稅
完成實價登錄2.0
監督社會住宅加速落實
改善學生宿舍及租屋環境
(2) 親子正義 共創安心育兒環境,助爸媽一臂之力
揭露兒虐資訊,強化 >>兒童<< 保護
提升公共托育量能
保障教保員權益
鼓勵育兒友善企業
設置大眾運輸友善規範,親子搭乘更安心
(3) 經濟正義創新典範,營造公平的市場環境
抑制土地炒作,鼓勵投資實體經濟
跳脫硬體優先,導入創新經濟
充分利用公共財,打造台灣成為科技實驗場
厚植IP經濟實力,研發附加價值極大化
监督頻譜釋照權利金使用,消弭數位鴻溝
(4) 金融正義打破金融幫,健全監理杜絕套利
下訂定金融旋轉門條款,以公開徵才取代特權酬庸
維護市場秩序,保護吹哨揭弊
健全金融監理機制
設立金融消費者保護局
(5) 主權正義強化民主防衛機制,遏止中共代理滲透
制定反併吞滲透法
立法防制紅色媒體
強化機敏產業保障
防止中資擾亂市場
(6) 司法正義落實司法改革,提升人民信任感
重懲司法關說
實現人民參與審判
消滅權貴司法
強化被害人權利保障
(7) 勞動正義做勞工後盾,為各行各業爭取合理保障
下強化勞檢能量及落實專業陪檢
降低工會門檻,團結捍衛勞權
支持警消組工會
制定最低工資法
(8) 環境正義結合制度科技,守護健康環境
推動水源保護區管理及精進空汙法規
檢討廢棄物管理法規、推動掩埋場相關制度
修正礦業法告別霸王條款守護山林
落實非核減煤,接軌國際氣候變遷標準
公私協力建構空氣環境監測,溯源排放管理
(9) 動物正義 打造友善動物的進步社會
工作犬的福利照顧制度化
保障動物用藥權
推動寵物友善公共運輸政策
落實寵物登記及推動飼主教育
增加野生動物保育預算,固定提撥
(10) 銀髮正義關心高齡化社會,安心照顧
精進高齡照顧制度及資源
強化銀髮消費者保護及反詐騙機制
加強遠距健康照護
增進銀髮健康樂活
打造高齡友善及無障礙的醫療環境
(11) 世代正義為年輕世代找回夢想的權利
推動憲改,18歲公民權入憲
守護性平教育,打造更多元友善社會
推廣食農教育,下一代吃得更安心
下建立友善環境的飲食習慣,照顧健康食安
"
嘉義縣第2選舉區_4_簡明廉,"ㄧ 、守護台灣全民健康，改善嘉義鄉親健康，健康從嘉義出發 ，推動預防疾病 ，自然療法，讓所有慢性疾病包括癌症不藥而癒，讓嘉義縣市變成一個快樂健康的城市。
二、堅決廢除同婚法案，滅種條例，以免世紀黑死病蔓延在台灣，守護台灣健康安全問題。
三、廢除總統優退方案，廢除選舉30元補助經費，改變惡質選舉文化。
四、解決交通意外及公安意外死亡事故，提出安全改善方案，降低交通違規罰款、降低貨車稅率。
五、恢復課綱，加強照顧弱勢族群及失依 >>兒童<< ，提出解決貧富差距方案。
六、廢除一例一休失敗法案，重新檢討共創勞資雙方雙贏。
七、廢除國營事業酬庸，以專業專職人員優先，降低國營事業主管薪資。
八、保障全民，老中小，農，漁，公，勞工等福利政策，解決少子高齡化，0至6歲國家養，中小學營養午餐一律國家免費提供。
九、反對中共代理人法案，推動兩岸和平法案，民間團體，文化宗教，科技等交流，兩岸中華民族人民，互助，互動，互惠，互利，共創雙贏局面。
十、推動民雄鄉會展中心，應邀世界各國來觀光旅遊採購一年創造500萬人次來參與盛會，創造一年百億經濟奇蹟造就嘉義縣市經濟繁榮，堅決反對民雄大崎興建殯儀館火葬場。
十一、立法提案在職地方首長及各階層民意代表，不得帶職參選或辭職參選法案，以免浪費公帑及國家資源。"
新北市第6選舉區_4_林國春,"一、0-6歲政府顧，不怕養育子孫，只怕沒有子孫。
二、守護孩子，建構安心校園環境，推動 >>兒童<< 親子體驗館，提供友善育兒及安全的成長空間。
三、廣設青年住宅、新創企業補助，提供青年就業機會
四、建置托老環境，照護長輩-推動友善銀髮住宅, 補助銀髮族學習課程。板橋進出人口達70萬人却沒有一間大型的公立醫院，為因應
高齡化社會的到來及 >>兒童<< 專用醫療需求及地方民眾殷切期望『爭取板橋自己的市立醫院』。
五、「維護居住品質安全」推動危老建築改建及獎勵，捷運到哪都市更新到哪，為社後輕軌爭取2350萬元進行可行性評估。
六、推動國民運動中心, 打造一區一個運動點的多元休閒。
七、推動定型化契約範本, 保障人民交易安全，維護消費者權益，基於現代工商社會，各種行業交易頻繁發生，為因應頻繁發生之同類
交易，制定標準格式之契約以提供予消費者簽署，並作為交易中權利義務之依據。
八、『年金改革合理化, 退休安養有尊嚴』，堅守信賴保護原則，重新制定合理年改上路。基金投資盈利所得逐年檢討，逐年分配退休
人員，保障退休生活。
九、持續推動反對廢除死刑，酒駕、毒品零容忍, 保障市民安全，酒駕罰金提成補助酒駕被害人及執勤傷亡的員警。
十、統籌分配稅款應依人口數分配比例，新北市是全台最多人口的縣市，但新北市財政狀況因中央資源分配不均，加上財劃法未修
正，人均預算從2011年的每人1.06萬, 降到2020年的每人1.02萬, 六都最低。"
新北市第11選舉區_7_張銘祐,"1.　長者：落實長照
a. 深入鄰里，增加服務覆蓋率及小型服務據點。b. 增加公共托老
中心數量。c. 增加新北市交通服務使用率。d. 發展長照人力。e.
推動「長訓」降低長照資源需求：《短期》擴大培訓中老年肌力
訓練之專業師資人力，施行地方示範社區。《中期》結合醫療檢
驗資源，並獎勵醫療人員進修運動科學。《長期》公部門專案輔
導師資人力進入社區，修法以友善運動訓練班之廣設
2.　 >>兒童<< ：滿足托育的多元需求，尊重 >>兒童<< 人權
a. 補助政策需滿足托育的多元需求型態，根據職業父母在職工作
之時數做出彈性補貼。b. 盤點公立義務教育學校之閒置校舍，立
法規範其需釋出一定比例之閒置校舍，做為社區托育場域。c. 輔
導具有相關專業之公私立機構，於前項空間進行育兒場域營運，
使其成為教育場所與家庭之間的社區中介單位，落實托育社區
化。d. 禁止所有托幼、教育機構進行任何形式的體罰，確保孩童
人身安全。e. 強化師資養成階段「反歧視」之價值觀教育。
3.　公義：監督媒體
a. 監督 NCC 確實將 OTT 管制入法（預定會提出視聽串流服務
法）。b. 監督政府扮演「策略投資人」的角色，讓台灣本土OTT
進軍國際市場。c. 監督 NCC 將上述內容擬定列入廣電三法中。d.
要求社群媒體平台下架假新聞，監督 NCC 將上述內容擬定入法。
e. 立法規定社群媒體平台應公開揭露在背後投放廣告推廣政治內
容的出資者真實身份。
4.　助青：造福青年
a. 新增大文山創業基地。b. 監督政府落實居住正義，活化閒置空
間，將其改造為社會住宅。c. 永續，落實國土生態綠網，保護環
境、野生動物和中央山脈。
5.　永續台灣：電業法之改善
a. 修改電費計算方式：離峰和尖峰時刻用電應分開計價。b. 變
電廠轉型，增加蓄電廠，能使離峰時刻發的電提供給尖峰時刻使
用；並且增加綠電之推廣及其蓄電之能力。c. 改善台電與民間共
同發電機制，增加民間開發並使用綠電之誘因。
6.　更新大文山：地方發展
a. 推動大文山觀光景點之點線面擴散。b. 監督安坑自來水管線
及安坑都市計畫之實行。c. 增加連結到台北、石碇和坪林的公車
線。d. 台北市往宜蘭的公車線能夠經過坪林。e. 活化閒置空間，
例協助公托、長照及青年福利"
臺中市第5選舉區_8_黃名白,"1. 建立與提升老人及 >>兒童<< 長期照護福利
2. 推動全民工作所
3. 落實全民環保推動低碳環保蔬食健康社區人民所願是「安」居「樂」業
「安」定的經營事業和家庭
「安」全的快樂學習和成長
「安」心並平和度過餘生
名白的初衷、本心皆是為民"
